"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"External service latency exceeded the agreed response threshold.
The failure should be classified as a flaky infrastructure issue
rather than a product defect.
","1","reportingServiceTimeoutShouldBeClassifiedAsFlaky()","","2026-07-10","broken","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","reportingServiceTimeoutShouldBeClassifiedAsFlaky"
"A downstream dependency unexpectedly terminated the active network
session. This type of infrastructure interruption should be
classified as a flaky execution issue.
","2","downstreamGatewayConnectionResetShouldBeFlaky()","","2026-07-10","broken","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","downstreamGatewayConnectionResetShouldBeFlaky"
"A completed order must expose a tracking reference to downstream consumers.
Missing business data indicates a product defect.
","2","completedOrderShouldExposeTrackingReference()","","2026-07-10","failed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","completedOrderShouldExposeTrackingReference"
"An incorrectly initialized framework dependency should be treated as a test
defect because the product under test was never exercised.
","5","frameworkDependencyMustBeInitializedBeforeExecution()","","2026-07-10","broken","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","frameworkDependencyMustBeInitializedBeforeExecution"
"The reporting adapter must be initialized before test execution.
Failure to construct framework dependencies represents a test
defect because the product was never exercised.
","2","frameworkDependencyShouldBeInitializedBeforeExecution()","","2026-07-10","broken","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","frameworkDependencyShouldBeInitializedBeforeExecution"
"The user interface refreshed while the automation framework was
interacting with a previously located element. This represents
a transient automation instability.
","34","dynamicPageRefreshCanTriggerStaleElementFailure()","","2026-07-10","broken","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","dynamicPageRefreshCanTriggerStaleElementFailure"
"Orders reaching the COMPLETED state must expose a shipment tracking
reference. Missing tracking data indicates a product defect.
","43","completedOrderMustExposeTrackingReference()","","2026-07-10","failed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","completedOrderMustExposeTrackingReference"
"Environment metadata answers which browser, base URL and build produced the report.","3","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","environmentTemplateCarriesRunContext"
"Categories split flaky, test and product failures so each bucket has an owner.","5","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"Historical analytics validation requires an external warehouse
environment and is intentionally skipped in the standard CI
execution path.
","0","historicalAnalyticsValidationRequiresDedicatedEnvironment()","","2026-07-10","skipped","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","historicalAnalyticsValidationRequiresDedicatedEnvironment"
"The leadership view is the Overview page once categories, history, severity and environment exist.","3","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","executiveViewNeedsFourSignals"
"Certain validation suites may be intentionally skipped until their external
dependencies become available.
","0","reportingIntegrationRequiresDedicatedEnvironment()","","2026-07-10","skipped","2026-07-10","","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","org.example.sdet.gradle.DataB_Work.test.AllureTestsForReportingInsight","reportingIntegrationRequiresDedicatedEnvironment"
