"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Framework Hardening","0","Reporting Insights","6","0","Categories","0"
"0","Framework Hardening","0","Reporting Insights","5","0","Environment metadata","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Order lifecycle validation","0"
"1","Framework Hardening","0","Reporting Insights","0","0","Stale element instability","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Catalog validation","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Risk acceptance validation","0"
"0","Framework Hardening","0","Reporting Insights","2","0","Reporting assets","0"
"0","Framework Hardening","0","Reporting Insights","6","0","Executive overview","0"
"0","Framework Hardening","0","Reporting Insights","0","1","Conditional execution","0"
"0","Framework Hardening","2","Reporting Insights","0","0","Known issue validation","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Authentication validation","0"
"0","Framework Hardening","0","Reporting Insights","2","0","Reporting metadata","0"
"0","Framework Hardening","0","Reporting Insights","1","0","Executive overview with more assertions","0"
"0","Framework Hardening","0","Reporting Insights","3","0","Flaky classification","0"
"1","Framework Hardening","0","Reporting Insights","0","0","Timeout instability","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Checkout validation","0"
"1","Framework Hardening","0","Reporting Insights","0","0","Connection reset instability","0"
"0","Framework Hardening","1","Reporting Insights","0","0","Business rule validation","0"
